"","x"
"1816",757.7576
"1817",786.7332
"1818",760.2056
"1819",795.1831
"1820",700.6897
"1821",699.3601
"1822",452.5291
"1823",535.0066
"1824",516.99
"1825",496.6104
"1826",473.2352
"1827",198.7722
"1828",155.2594
"1829",347.0092
"1830",414.8053
"1831",487.8621
"1832",457.1407
"1833",341.6454
"1834",183.7546
"1835",279.4471
"1836",184.0599
"1837",120.011
"1838",128.6155
"1839",123.9113
"1840",119.1234
"1841",74.5742
"1842",60.5504
"1843",60.9269
"1844",56.7489
"1845",43.9441
"1846",25.9208
"1847",12.889
"1848",6.6428
"1849",0.00249999999999997
"1850",0
"1851",0
"1852",0
"1853",0
"1854",0
"1855",0
"1856",0
"1857",0
"1858",0
"1859",0
"1860",0
"1861",0
"1862",0
"1863",0
"1864",0
"1865",0
"1866",0
"1867",0
"1868",0
"1869",0
"1870",0
"1871",0
"1872",0
"1873",0
"1874",0
"1875",0
"1876",0
"1877",0
"1878",0
"1879",0
"1880",0
"1881",0
"1882",0
"1883",0
"1884",0
"1885",0
"1886",0
"1887",0
"1888",0
"1889",0
"1890",0
"1891",0
"1892",0
"1893",0
"1894",0
"1895",0
"1896",0
"1897",0
"1898",0
"1899",0
"1900",0
"1901",0
"1902",0
"1903",0
"1904",0
"1905",0
"1906",0
"1907",0
"1908",0
"1909",0
"1910",0
"1911",0
"1912",0
"1913",0
"1914",0
"1915",0.8074
"1916",4.6196
"1917",8.6095
"1918",15.5086
"1919",22.9584
"1920",31.2346
"1921",36.8297
"1922",46.2143
"1923",54.6586
"1924",53.3298
"1925",75.0164
"1926",71.3234
"1927",68.3158
"1928",66.8738
"1929",51.8489
"1930",82.3505
"1931",106.9528
"1932",115.5539
"1933",188.9455
"1934",231.3062
"1935",275.8837
"1936",331.3034
"1937",389.8986
"1938",275.6126
"1939",223.3741
"1940",240.7068
"1941",185.0296
"1942",184.2246
"1943",182.8328
"1944",190.4275
"1945",255.7269
"1946",356.8343
"1947",410.7117
"1948",532.3487
"1949",984.3298
"1950",677.4669
"1951",458.625
"1952",201.6521
"1953",78.2919
"1954",73.6476
"1955",94.2855
"1956",101.9872
"1957",102.4244
"1958",120.0091
"1959",177.7173
"1960",236.1729
"1961",281.4832
"1962",350.4523
